seed,accuracy
290,0.8181818181818182
291,0.8153409090909091
292,0.8181818181818182
293,0.8238636363636364
294,0.8096590909090909
295,0.8068181818181818
296,0.8125
297,0.8181818181818182
298,0.8153409090909091
299,0.8153409090909091
300,0.8039772727272727
301,0.8125
302,0.8181818181818182
303,0.8125
304,0.8238636363636364
305,0.8096590909090909
306,0.8181818181818182
307,0.8181818181818182
308,0.8153409090909091
309,0.8039772727272727
310,0.8039772727272727
311,0.8153409090909091
312,0.8181818181818182
313,0.8210227272727273
314,0.8267045454545454
315,0.8068181818181818
316,0.8125
317,0.8039772727272727
318,0.8210227272727273
319,0.8068181818181818
320,0.8210227272727273
