         6032 function calls (5989 primitive calls) in 2.882 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/warnings.py:467(__enter__)
     16/1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:44(clone)
       23    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:274(__exit__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:142(_get_active_backend)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/connection.py:406(_send_bytes)
        1    0.000    0.000    0.001    0.001 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/validation.py:2835(validate_data)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:811(_newname)
       20    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/_config.py:27(_get_threadlocal_config)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:167(get_annotations)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:1221(daemon)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:735(unwrap)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/context.py:110(SimpleQueue)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/queue.py:154(get)
       18    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
       23    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:271(__enter__)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/random.py:493(<listcomp>)
       77    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/util.py:208(__call__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/multiclass.py:129(is_multilabel)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/context.py:65(Lock)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:419(__sklearn_tags__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/ensemble/_base.py:135(_make_estimator)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:283(_acquire_restore)
       16    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/weakref.py:427(__setitem__)
        5    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/_weakrefset.py:39(_remove)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:1087(join)
        5    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_array_api.py:209(_is_numpy_namespace)
